divison,lane,champion,tier,win_rate,pick_rate,ban_rate,counters,matches
Platinum,Adc,Yasuo,B,48.64%,0.7%,16.9%,"Seraphine,Sivir,Senna,Tristana,Draven,Kaisa,Xayah",625
Platinum,Supp,Xerath,B,48.61%,3.0%,1.2%,"Braum,Soraka,Maokai,Yuumi,Seraphine,Bard,Pyke","2,559"
Platinum,Jungle,Nidalee,C,48.58%,7.4%,3.0%,"Ivern,Jarvaniv,Warwick,Gragas,Fiddlesticks,Nunu,Udyr","6,422"
Platinum,Supp,Senna,D,48.46%,11.3%,11.3%,"Braum,Zyra,Lux,Sona,Bard,Thresh,Zilean","9,742"
Platinum,Supp,Ashe,B,48.43%,1.3%,0.7%,"Pantheon,Sett,Pyke,Soraka,Blitzcrank,Nautilus,Rakan","1,148"
Platinum,Jungle,Gragas,B,48.42%,2.7%,1.4%,"Skarner,Ivern,Nunu,Rengar,Reksai,Khazix,Fiddlesticks","2,367"
Platinum,Supp,Yuumi,D,48.41%,7.8%,8.3%,"Swain,Braum,Leona,Thresh,Rell,Nami,Zilean","6,705"
Platinum,Supp,Gragas,B,48.37%,1.2%,1.4%,"Nami,Pantheon,Soraka,Leona,Lulu,Galio,Xerath","1,042"
Platinum,Adc,Ezreal,D,48.34%,17.4%,1.9%,"Varus,Draven,Tristana,Twitch,Senna,Samira,Missfortune","14,984"
Platinum,Mid,Zoe,C,48.29%,4.3%,2.5%,"Qiyana,Annie,Kassadin,Azir,Ekko,Fizz,Anivia","3,723"
Platinum,Supp,Rakan,C,48.27%,3.2%,0.1%,"Shaco,Swain,Lulu,Xerath,Gragas,Pantheon,Soraka","2,724"
Platinum,Top,Vayne,B,48.22%,1.8%,9.9%,"Pantheon,Gangplank,Rengar,Rumble,Heimerdinger,Vladimir,Nasus","1,547"
Platinum,Mid,Sylas,D,48.21%,7.7%,3.4%,"Kassadin,Velkoz,Ryze,Pantheon,Malzahar,Qiyana,Anivia","6,615"
Platinum,Mid,Azir,B,48.14%,1.8%,0.1%,"Leblanc,Viego,Neeko,Pantheon,Lissandra,Lucian,Fizz","1,587"
Platinum,Mid,Ziggs,B,48.03%,0.9%,0.0%,"Lissandra,Tristana,Jayce,Azir,Galio,Katarina,Vladimir",762
Platinum,Adc,Jinx,D,48.02%,10.2%,0.6%,"Twitch,Swain,Varus,Xayah,Kaisa,Caitlyn,Jhin","8,824"
Platinum,Supp,Lux,C,48.01%,3.7%,0.3%,"Zyra,Xerath,Leona,Blitzcrank,Bard,Nautilus,Galio","3,216"
Platinum,Adc,Xayah,C,48.01%,5.6%,0.3%,"Vayne,Senna,Missfortune,Draven,Jhin,Twitch,Lucian","4,874"
Platinum,Top,Vladimir,B,48.00%,1.5%,4.6%,"Singed,Chogath,Garen,Wukong,Ornn,Illaoi,Mordekaiser","1,327"
Platinum,Mid,Gragas,B,47.91%,0.7%,1.4%,"Malphite,Viego,Cassiopeia,Kassadin,Qiyana,Azir,Neeko",597
Platinum,Supp,Pyke,D,47.83%,5.2%,3.1%,"Sona,Gragas,Rell,Morgana,Zyra,Rakan,Zilean","4,508"
Platinum,Jungle,Xin Zhao,B,47.80%,1.2%,0.1%,"Skarner,Rammus,Nunu,Ivern,Gragas,Zac,Pantheon","1,023"
Platinum,Supp,Karma,D,47.77%,6.2%,0.4%,"Galio,Shaco,Bard,Pyke,Rakan,Yuumi,Xerath","5,311"
Platinum,Top,Karma,B,47.67%,0.6%,0.4%,"Shyvana,Pantheon,Kayle,Jayce,Riven,Lissandra,Kled",516
Platinum,Top,Viego,D,47.62%,5.3%,47.0%,"Kennen,Jax,Rumble,Mordekaiser,Malphite,Pantheon,Wukong","4,588"
Platinum,Jungle,Graves,D,47.52%,11.6%,14.2%,"Skarner,Ivern,Udyr,Karthus,Rammus,Reksai,Fiddlesticks","10,026"
Platinum,Top,Jax,D,47.47%,4.2%,4.0%,"Singed,Poppy,Chogath,Maokai,Sion,Malphite,Garen","3,649"
Platinum,Adc,Aphelios,D,47.42%,7.3%,2.6%,"Kalista,Ashe,Varus,Sivir,Xayah,Samira,Vayne","6,271"
Platinum,Top,Zac,B,47.39%,0.5%,0.7%,"Lucian,Sion,Shen,Pantheon,Illaoi,Sett,Nasus",441
Platinum,Supp,Pantheon,D,47.32%,3.8%,32.2%,"Velkoz,Maokai,Zilean,Rell,Thresh,Shaco,Nami","3,242"
Platinum,Jungle,Wukong,B,47.25%,0.6%,1.6%,"Karthus,Nunu,Skarner,Reksai,Warwick,Fiddlesticks,Rammus",527
Platinum,Top,Yasuo,B,47.20%,1.3%,16.9%,"Swain,Chogath,Riven,Poppy,Nasus,Urgot,Kennen","1,091"
