divison,lane,champion,tier,win_rate,pick_rate,ban_rate,counters,matches
Iron,Jungle,Skarner,S,60.19%,0.8%,0.0%,"Nidalee,Amumu,Cho'Gath,Xin Zhao,Nocturne,Sejuani,Trundle",422
Iron,Jungle,Rammus,S+,57.11%,4.1%,0.0%,"Elise,Nunu,Lillia,Wukong,Amumu,Sejuani,Warwick","2,180"
Iron,Mid,Mordekaiser,A,56.79%,0.7%,0.0%,"Tryndamere,Pyke,Azir,Galio,Leblanc,Morgana,Swain",361
Iron,Mid,Teemo,S,55.93%,1.0%,0.0%,"Vladimir,Anivia,Xerath,Karthus,Tristana,Ezreal,Diana",540
Iron,Top,Singed,S,55.54%,1.1%,0.0%,"Tahm Kench,Shen,Yone,Heimerdinger,Gangplank,Dr. Mundo,Yorick",596
Iron,Top,Yorick,S,55.47%,2.3%,0.0%,"Gragas,Camille,Sion,Cho'Gath,Illaoi,Volibear,Kayle","1,224"
Iron,Jungle,Zac,S,55.43%,1.2%,0.0%,"Trundle,Rammus,Shyvana,Ekko,Olaf,Viego,Warwick",626
Iron,Mid,Viktor,S,55.00%,1.2%,0.0%,"Ziggs,Swain,Orianna,Malzahar,Veigar,Akali,Kassadin",620
Iron,Supp,Swain,S+,54.92%,5.0%,0.0%,"Zyra,Neeko,Veigar,Xerath,Maokai,Blitzcrank,Lulu","2,620"
Iron,Supp,Rell,S,54.80%,2.2%,0.0%,"Brand,Swain,Rakan,Lulu,Soraka,Zyra,Thresh","1,177"
Iron,Mid,Brand,S,54.77%,2.3%,0.0%,"Vladimir,Vel'Koz,Teemo,Pyke,Xerath,Katarina,Talon","1,227"
Iron,Supp,Brand,S+,54.68%,8.8%,0.0%,"Galio,Xerath,Maokai,Swain,Zyra,Blitzcrank,Bard","4,607"
Iron,Mid,Morgana,S,54.62%,1.4%,0.0%,"Vel'Koz,Annie,Pantheon,Azir,Syndra,Leblanc,Viego",725
Iron,Mid,Swain,A,54.55%,0.8%,0.0%,"Viego,Malphite,Seraphine,Vel'Koz,Pantheon,Cassiopeia,Yasuo",440
Iron,Supp,Shen,A,54.19%,0.7%,0.0%,"Miss Fortune,Seraphine,Sett,Janna,Nami,Vel'Koz,Soraka",382
Iron,Top,Nasus,S+,54.19%,8.9%,0.0%,"Viego,Gragas,Wukong,Yorick,Poppy,Illaoi,Singed","4,669"
Iron,Supp,Teemo,A,53.81%,0.8%,0.0%,"Veigar,Zilean,Rakan,Karma,Braum,Nidalee,Blitzcrank",420
Iron,Top,Kled,A,53.64%,0.9%,0.0%,"Sion,Singed,Tahm Kench,Vladimir,Camille,Renekton,Volibear",494
Iron,Supp,Maokai,S,53.55%,2.4%,0.0%,"Neeko,Rell,Teemo,Zilean,Thresh,Nami,Senna","1,268"
Iron,Top,Teemo,S+,53.42%,10.8%,0.0%,"Sylas,Kayle,Cho'Gath,Nasus,Yone,Yorick,Sion","5,683"
Iron,Supp,Veigar,S,53.33%,2.0%,0.0%,"Xerath,Janna,Rell,Maokai,Braum,Malphite,Shaco","1,067"
Iron,Top,Wukong,S,53.26%,3.0%,0.0%,"Poppy,Rumble,Yorick,Shen,Illaoi,Yone,Yasuo","1,594"
Iron,Jungle,Warwick,S+,53.11%,15.5%,0.0%,"Wukong,Dr. Mundo,Kindred,Amumu,Elise,Nocturne,Xin Zhao","8,134"
Iron,Mid,Pyke,A,53.04%,1.5%,0.0%,"Kassadin,Ziggs,Neeko,Vladimir,Morgana,Malzahar,Veigar",805
Iron,Mid,Yasuo,S+,53.01%,18.4%,0.0%,"Renekton,Morgana,Cassiopeia,Garen,Malzahar,Viktor,Heimerdinger","9,659"
Iron,Supp,Shaco,S,53.01%,1.9%,0.0%,"Zyra,Seraphine,Karma,Rakan,Alistar,Shen,Lulu",981
Iron,Mid,Neeko,S,53.00%,4.3%,0.0%,"Vel'Koz,Morgana,Ziggs,Kassadin,Galio,Seraphine,Diana","2,268"
Iron,Mid,Renekton,A,52.99%,0.7%,0.0%,"Viktor,Vladimir,Zyra,Teemo,Kassadin,Leblanc,Diana",368
Iron,Supp,Xerath,S,52.95%,2.4%,0.0%,"Rell,Pantheon,Thresh,Sona,Vel'Koz,Leona,Seraphine","1,271"
Iron,Jungle,Udyr,S+,52.94%,6.5%,0.0%,"Rammus,Skarner,Volibear,Shaco,Nocturne,Shyvana,Warwick","3,430"
Iron,Top,Sett,S+,52.78%,11.8%,0.0%,"Yorick,Akali,Heimerdinger,Urgot,Wukong,Irelia,Teemo","6,192"
Iron,Jungle,Master Yi,S+,52.77%,19.8%,0.0%,"Warwick,Rammus,Karthus,Udyr,Sejuani,Jarvan IV,Jax","10,439"
Iron,Mid,Vel'Koz,A,52.76%,1.8%,0.0%,"Viktor,Zoe,Sylas,Anivia,Aurelion Sol,Lux,Qiyana",959
Iron,Jungle,Shyvana,S,52.76%,3.7%,0.0%,"Tryndamere,Dr. Mundo,Rammus,Skarner,Lillia,Kha'Zix,Warwick","1,922"
Iron,Mid,Diana,S+,52.76%,6.8%,0.0%,"Galio,Xerath,Azir,Ziggs,Brand,Kassadin,Akali","3,573"
Iron,Mid,Garen,A,52.73%,0.6%,0.0%,"Viego,Heimerdinger,Vladimir,Zoe,Anivia,Lucian,Diana",330
Iron,Mid,Heimerdinger,S,52.66%,2.7%,0.0%,"Brand,Vel'Koz,Diana,Ziggs,Fizz,Zoe,Neeko","1,430"
Iron,Adc,Miss Fortune,S+,52.66%,31.1%,0.0%,"Yasuo,Ashe,Kalista,Senna,Vayne,Tristana,Ezreal","16,363"
Iron,Supp,Vel'Koz,S,52.64%,2.7%,0.0%,"Shaco,Neeko,Zilean,Rakan,Sona,Brand,Maokai","1,400"
Iron,Supp,Leona,S+,52.48%,9.4%,0.0%,"Braum,Galio,Brand,Rell,Vel'Koz,Shaco,Ashe","4,971"
Iron,Top,Sion,A,52.45%,1.5%,0.0%,"Viego,Heimerdinger,Wukong,Mordekaiser,Aatrox,Kayle,Nasus",797
Iron,Jungle,Amumu,S,52.39%,4.3%,0.0%,"Kindred,Trundle,Zac,Udyr,Dr. Mundo,Master Yi,Hecarim","2,285"
Iron,Mid,Yone,S+,52.33%,13.5%,0.0%,"Cassiopeia,Vel'Koz,Pyke,Leblanc,Brand,Neeko,Tristana","7,114"
Iron,Top,Volibear,S,52.32%,4.4%,0.0%,"Jayce,Tahm Kench,Yone,Vayne,Kayle,Mordekaiser,Xin Zhao","2,305"
Iron,Top,Cho'Gath,S,52.32%,5.0%,0.0%,"Warwick,Poppy,Ornn,Singed,Aatrox,Sett,Yasuo","2,632"
Iron,Mid,Tristana,A,52.24%,1.2%,0.0%,"Viego,Morgana,Syndra,Azir,Pantheon,Neeko,Heimerdinger",624
Iron,Mid,Anivia,A,52.22%,2.5%,0.0%,"Kassadin,Brand,Ryze,Ezreal,Cassiopeia,Tristana,Malzahar","1,331"
Iron,Top,Heimerdinger,A,52.13%,1.8%,0.0%,"Yorick,Viego,Camille,Cho'Gath,Nasus,Ornn,Urgot",938
Iron,Mid,Nocturne,A,52.08%,0.5%,0.0%,"Ekko,Anivia,Katarina,Diana,Malzahar,Orianna,Pyke",265
Iron,Top,Garen,S+,51.96%,14.6%,0.0%,"Singed,Wukong,Riven,Tahm Kench,Yorick,Yasuo,Quinn","7,688"
Iron,Jungle,Dr. Mundo,S,51.86%,3.6%,0.0%,"Zac,Karthus,Rek'Sai,Jarvan IV,Nidalee,Kha'Zix,Nunu","1,886"
Iron,Top,Illaoi,S,51.72%,5.8%,0.0%,"Heimerdinger,Kled,Singed,Shen,Kayle,Teemo,Mordekaiser","3,045"
Iron,Jungle,Nocturne,S,51.69%,6.6%,0.0%,"Elise,Rammus,Shyvana,Karthus,Amumu,Nunu,Graves","3,459"
Iron,Adc,Yasuo,A,51.60%,1.9%,0.0%,"Aphelios,Sivir,Jinx,Tristana,Lucian,Twitch,Kai'Sa",998
Iron,Mid,Viego,A,51.59%,2.3%,0.0%,"Mordekaiser,Lux,Anivia,Kassadin,Ekko,Viktor,Vel'Koz","1,227"
Iron,Mid,Fizz,S,51.59%,6.7%,0.0%,"Viktor,Veigar,Tristana,Xerath,Vladimir,Lucian,Morgana","3,520"
Iron,Jungle,Karthus,A,51.59%,1.1%,0.0%,"Skarner,Rek'Sai,Shyvana,Udyr,Zac,Vi,Olaf",597
Iron,Mid,Lux,S,51.46%,6.7%,0.0%,"Galio,Neeko,Xerath,Viktor,Teemo,Katarina,Pyke","3,535"
Iron,Supp,Seraphine,S,51.45%,9.9%,0.0%,"Sett,Braum,Veigar,Brand,Ashe,Leona,Blitzcrank","5,211"
Iron,Mid,Xerath,A,51.44%,1.8%,0.0%,"Tristana,Orianna,Leblanc,Neeko,Cassiopeia,Ryze,Veigar",970
Iron,Mid,Veigar,S,51.44%,7.6%,0.0%,"Qiyana,Viego,Heimerdinger,Yone,Morgana,Anivia,Kassadin","3,985"
Iron,Mid,Seraphine,A,51.34%,0.9%,0.0%,"Diana,Lux,Brand,Malzahar,Anivia,Katarina,Viktor",448
Iron,Top,Yasuo,A,51.26%,2.7%,0.0%,"Nasus,Ornn,Singed,Malphite,Yorick,Volibear,Dr. Mundo","1,434"
Iron,Mid,Ekko,S,51.22%,5.1%,0.0%,"Lucian,Leblanc,Seraphine,Anivia,Tristana,Brand,Orianna","2,661"
Iron,Adc,Tristana,S+,51.21%,15.6%,0.0%,"Draven,Sivir,Miss Fortune,Jinx,Ezreal,Aphelios,Samira","8,206"
Iron,Top,Tahm Kench,A,51.18%,1.0%,0.0%,"Sion,Galio,Akali,Vayne,Teemo,Riven,Yone",510
Iron,Supp,Nami,A,51.12%,2.7%,0.0%,"Zilean,Braum,Veigar,Vel'Koz,Sett,Rell,Swain","1,430"
Iron,Mid,Cassiopeia,A,51.07%,2.0%,0.0%,"Brand,Viktor,Leblanc,Morgana,Qiyana,Pyke,Heimerdinger","1,028"
Iron,Top,Malphite,S,51.06%,6.2%,0.0%,"Akali,Kennen,Volibear,Heimerdinger,Cho'Gath,Tahm Kench,Sion","3,263"
Iron,Supp,Morgana,S+,51.06%,19.1%,0.0%,"Rell,Maokai,Swain,Brand,Soraka,Teemo,Sona","10,070"
Iron,Mid,Kassadin,A,51.04%,2.1%,0.0%,"Mordekaiser,Pantheon,Morgana,Zoe,Ahri,Vladimir,Twisted Fate","1,101"
Iron,Jungle,Ekko,A,51.03%,4.7%,0.0%,"Rammus,Skarner,Amumu,Elise,Xin Zhao,Karthus,Shyvana","2,483"
Iron,Adc,Senna,A,51.02%,4.8%,0.0%,"Xayah,Tristana,Twitch,Yasuo,Ashe,Caitlyn,Jhin","2,548"
Iron,Supp,Zyra,A,50.99%,3.7%,0.0%,"Taric,Sona,Thresh,Lulu,Maokai,Galio,Xerath","1,928"
Iron,Top,Warwick,A,50.96%,0.9%,0.0%,"Singed,Camille,Riven,Pantheon,Heimerdinger,Vayne,Garen",469
Iron,Supp,Galio,A,50.92%,2.1%,0.0%,"Rell,Vel'Koz,Nami,Swain,Xerath,Alistar,Blitzcrank","1,086"
Iron,Top,Mordekaiser,S,50.90%,10.3%,0.0%,"Cho'Gath,Singed,Yorick,Jax,Kayle,Teemo,Quinn","5,399"
Iron,Supp,Malphite,A,50.83%,4.2%,0.0%,"Xerath,Karma,Alistar,Vel'Koz,Maokai,Janna,Lulu","2,219"
Iron,Adc,Sivir,A,50.81%,3.5%,0.0%,"Senna,Kalista,Vayne,Jhin,Twitch,Xayah,Kai'Sa","1,844"
Iron,Top,Urgot,A,50.80%,5.5%,0.0%,"Yorick,Kayle,Pantheon,Wukong,Warwick,Yone,Shen","2,876"
Iron,Supp,Lux,S+,50.80%,24.6%,0.0%,"Shaco,Xerath,Veigar,Brand,Zilean,Vel'Koz,Swain","12,969"
Iron,Top,Shen,A,50.72%,3.4%,0.0%,"Yasuo,Gangplank,Teemo,Dr. Mundo,Akali,Tryndamere,Garen","1,808"
Iron,Supp,Blitzcrank,S,50.71%,9.2%,0.0%,"Bard,Rell,Leona,Zyra,Xerath,Zilean,Lux","4,853"
Iron,Jungle,Cho'Gath,A,50.69%,0.5%,0.0%,"Rengar,Kindred,Gragas,Nocturne,Evelynn,Fiddlesticks,Trundle",288
Iron,Jungle,Volibear,A,50.63%,4.2%,0.0%,"Rengar,Karthus,Vi,Wukong,Trundle,Zac,Sett","2,226"
Iron,Adc,Jhin,S,50.62%,16.9%,0.0%,"Aphelios,Yasuo,Kalista,Xayah,Miss Fortune,Tristana,Twitch","8,868"
Iron,Top,Yone,A,50.61%,3.0%,0.0%,"Ornn,Tryndamere,Xin Zhao,Olaf,Yorick,Mordekaiser,Akali","1,563"
Iron,Top,Tryndamere,A,50.60%,6.8%,0.0%,"Kennen,Gragas,Gnar,Dr. Mundo,Urgot,Camille,Garen","3,555"
Iron,Adc,Kai'Sa,S,50.57%,19.3%,0.0%,"Senna,Miss Fortune,Twitch,Tristana,Aphelios,Jhin,Kalista","10,163"
Iron,Top,Shaco,A,50.54%,0.5%,0.0%,"Yasuo,Pantheon,Dr. Mundo,Illaoi,Volibear,Wukong,Urgot",277
Iron,Supp,Sett,A,50.51%,1.9%,0.0%,"Vel'Koz,Morgana,Teemo,Zyra,Anivia,Yuumi,Brand",978
Iron,Top,Kennen,A,50.50%,1.1%,0.0%,"Sion,Ornn,Cho'Gath,Yone,Yasuo,Wukong,Mordekaiser",602
Iron,Mid,Annie,A,50.44%,3.2%,0.0%,"Seraphine,Tristana,Vel'Koz,Malzahar,Neeko,Xerath,Talon","1,699"
Iron,Jungle,Vi,A,50.39%,3.9%,0.0%,"Tryndamere,Jarvan IV,Nocturne,Rammus,Udyr,Warwick,Olaf","2,066"
Iron,Jungle,Hecarim,A,50.33%,8.0%,0.0%,"Skarner,Rek'Sai,Lillia,Zac,Rammus,Volibear,Wukong","4,226"
Iron,Jungle,Sejuani,A,50.25%,1.1%,0.0%,"Amumu,Olaf,Wukong,Shyvana,Udyr,Karthus,Shaco",593
Iron,Supp,Sona,A,50.19%,3.6%,0.0%,"Ashe,Nami,Soraka,Maokai,Pantheon,Nautilus,Malphite","1,889"
Iron,Jungle,Sett,A,50.12%,0.8%,0.0%,"Elise,Ekko,Rek'Sai,Rengar,Sion,Fiddlesticks,Rammus",401
Iron,Adc,Aphelios,A,50.06%,4.5%,0.0%,"Sivir,Ashe,Ezreal,Samira,Miss Fortune,Caitlyn,Tristana","2,349"
Iron,Supp,Nautilus,A,50.05%,7.3%,0.0%,"Swain,Janna,Sett,Veigar,Shaco,Neeko,Rell","3,834"
Iron,Jungle,Kha'Zix,A,50.01%,8.8%,0.0%,"Zac,Rammus,Rengar,Volibear,Udyr,Trundle,Shaco","4,639"
Iron,Top,Dr. Mundo,B,49.95%,2.1%,0.0%,"Sion,Master Yi,Pantheon,Illaoi,Darius,Malphite,Urgot","1,109"
Iron,Mid,Galio,B,49.92%,3.4%,0.0%,"Sett,Swain,Teemo,Brand,Cassiopeia,Tristana,Xerath","1,779"
Iron,Jungle,Kayn,B,49.84%,16.3%,0.0%,"Elise,Nocturne,Wukong,Warwick,Sejuani,Ekko,Rammus","8,575"
Iron,Jungle,Malphite,B,49.84%,0.6%,0.0%,"Evelynn,Jarvan IV,Xin Zhao,Rammus,Nunu,Volibear,Kha'Zix",307
Iron,Adc,Ashe,B,49.83%,17.0%,0.0%,"Sivir,Jhin,Tristana,Samira,Yasuo,Xayah,Varus","8,954"
Iron,Adc,Vayne,B,49.79%,8.9%,0.0%,"Yasuo,Senna,Aphelios,Tristana,Ashe,Twitch,Kai'Sa","4,706"
Iron,Adc,Twitch,B,49.76%,4.0%,0.0%,"Samira,Jinx,Miss Fortune,Tristana,Draven,Aphelios,Caitlyn","2,082"
Iron,Adc,Jinx,B,49.72%,9.5%,0.0%,"Sivir,Miss Fortune,Jhin,Aphelios,Vayne,Senna,Varus","5,020"
Iron,Supp,Taric,B,49.70%,0.9%,0.0%,"Ashe,Galio,Sona,Janna,Braum,Soraka,Rell",495
Iron,Mid,Tryndamere,B,49.62%,0.5%,0.0%,"Corki,Cassiopeia,Morgana,Annie,Kassadin,Ziggs,Heimerdinger",266
Iron,Top,Kayle,B,49.59%,3.2%,0.0%,"Kennen,Quinn,Nasus,Heimerdinger,Vayne,Kled,Sett","1,696"
Iron,Jungle,Viego,C,49.56%,10.7%,0.0%,"Sejuani,Trundle,Volibear,Rammus,Hecarim,Ekko,Vi","5,622"
Iron,Supp,Miss Fortune,B,49.52%,0.6%,0.0%,"Veigar,Shaco,Alistar,Vel'Koz,Swain,Blitzcrank,Xerath",315
Iron,Supp,Alistar,B,49.52%,3.0%,0.0%,"Bard,Xerath,Neeko,Veigar,Lux,Morgana,Maokai","1,557"
Iron,Top,Trundle,B,49.51%,0.6%,0.0%,"Akali,Ryze,Kalista,Kayle,Urgot,Aatrox,Shen",305
Iron,Top,Ornn,B,49.51%,3.1%,0.0%,"Shyvana,Sylas,Urgot,Gnar,Wukong,Tryndamere,Teemo","1,624"
Iron,Jungle,Nunu & Willump,B,49.48%,4.8%,0.0%,"Zac,Amumu,Fiddlesticks,Ivern,Kindred,Kha'Zix,Olaf","2,502"
Iron,Jungle,Rek'Sai,B,49.48%,0.7%,0.0%,"Fiddlesticks,Rammus,Shyvana,Xin Zhao,Lillia,Lee Sin,Jax",382
Iron,Jungle,Lillia,B,49.43%,2.2%,0.0%,"Zac,Xin Zhao,Shaco,Nunu,Kha'Zix,Amumu,Vi","1,137"
Iron,Supp,Neeko,B,49.38%,2.2%,0.0%,"Taric,Veigar,Rell,Xerath,Teemo,Lulu,Rakan","1,136"
Iron,Jungle,Xin Zhao,B,49.37%,5.3%,0.0%,"Karthus,Zac,Trundle,Dr. Mundo,Rammus,Kayn,Udyr","2,777"
Iron,Mid,Malzahar,B,49.33%,2.8%,0.0%,"Ziggs,Vel'Koz,Morgana,Brand,Tristana,Pantheon,Neeko","1,494"
Iron,Top,Quinn,B,49.31%,2.6%,0.0%,"Kled,Yasuo,Dr. Mundo,Pantheon,Sylas,Shen,Cho'Gath","1,367"
Iron,Jungle,Trundle,B,49.29%,1.5%,0.0%,"Shaco,Rammus,Shyvana,Vi,Udyr,Karthus,Nocturne",779
Iron,Jungle,Jax,C,49.27%,6.9%,0.0%,"Zac,Ivern,Graves,Shyvana,Rammus,Hecarim,Karthus","3,619"
Iron,Adc,Kog'Maw,B,49.25%,0.9%,0.0%,"Draven,Tristana,Twitch,Sivir,Miss Fortune,Jhin,Kai'Sa",469
Iron,Supp,Pyke,D,49.23%,9.9%,0.0%,"Rell,Veigar,Maokai,Brand,Braum,Blitzcrank,Sona","5,190"
Iron,Supp,Thresh,C,49.23%,6.2%,0.0%,"Alistar,Shaco,Brand,Sett,Neeko,Nami,Swain","3,238"
Iron,Mid,Ahri,C,49.22%,7.4%,0.0%,"Brand,Viktor,Vladimir,Yone,Anivia,Fizz,Azir","3,901"
Iron,Supp,Braum,B,49.21%,1.7%,0.0%,"Galio,Soraka,Sett,Rell,Vel'Koz,Brand,Maokai",886
Iron,Mid,Sylas,C,49.17%,5.5%,0.0%,"Kassadin,Teemo,Brand,Viego,Lux,Veigar,Diana","2,894"
Iron,Jungle,Tryndamere,B,49.14%,1.1%,0.0%,"Trundle,Shaco,Rek'Sai,Jax,Udyr,Ekko,Jarvan IV",584
Iron,Top,Jax,C,49.06%,5.5%,0.0%,"Kled,Tahm Kench,Aatrox,Renekton,Ornn,Yone,Malphite","2,870"
Iron,Adc,Ezreal,D,49.04%,10.5%,0.0%,"Yasuo,Twitch,Senna,Jinx,Vayne,Miss Fortune,Kai'Sa","5,530"
Iron,Mid,Katarina,D,49.01%,7.6%,0.0%,"Kassadin,Heimerdinger,Sett,Xerath,Morgana,Annie,Diana","4,007"
Iron,Adc,Samira,D,48.96%,9.0%,0.0%,"Sivir,Kai'Sa,Kalista,Senna,Miss Fortune,Yasuo,Jhin","4,712"
Iron,Mid,Sett,B,48.94%,1.0%,0.0%,"Syndra,Xerath,Teemo,Twisted Fate,Leblanc,Renekton,Ziggs",519
Iron,Jungle,Olaf,D,48.89%,5.6%,0.0%,"Gragas,Volibear,Kindred,Rammus,Shyvana,Nidalee,Udyr","2,972"
Iron,Supp,Ziggs,B,48.84%,0.6%,0.0%,"Ashe,Xerath,Shen,Alistar,Sett,Shaco,Senna",303
Iron,Mid,Lissandra,B,48.82%,0.6%,0.0%,"Pyke,Leblanc,Morgana,Teemo,Lux,Syndra,Cassiopeia",340
Iron,Jungle,Shaco,D,48.82%,5.2%,0.0%,"Ekko,Amumu,Vi,Karthus,Rammus,Fiddlesticks,Nocturne","2,716"
Iron,Supp,Zilean,B,48.79%,1.3%,0.0%,"Sett,Rell,Malphite,Shaco,Janna,Lulu,Bard",703
Iron,Mid,LeBlanc,B,48.63%,2.1%,0.0%,"Viktor,Malzahar,Viego,Lux,Talon,Kassadin,Brand","1,096"
Iron,Supp,Soraka,C,48.61%,3.5%,0.0%,"Veigar,Malphite,Blitzcrank,Maokai,Nami,Janna,Seraphine","1,837"
Iron,Mid,Twisted Fate,B,48.53%,2.5%,0.0%,"Heimerdinger,Pyke,Ziggs,Brand,Vel'Koz,Viego,Fizz","1,325"
Iron,Jungle,Wukong,B,48.48%,1.3%,0.0%,"Jarvan IV,Karthus,Taliyah,Graves,Nidalee,Dr. Mundo,Lillia",660
Iron,Jungle,Elise,B,48.44%,1.5%,0.0%,"Jarvan IV,Karthus,Rengar,Amumu,Nidalee,Vi,Nunu",770
Iron,Mid,Pantheon,D,48.33%,4.4%,0.0%,"Vladimir,Mordekaiser,Nocturne,Anivia,Diana,Ahri,Twisted Fate","2,301"
Iron,Top,Viego,C,48.31%,2.9%,0.0%,"Yasuo,Gnar,Kayle,Kled,Olaf,Shen,Pantheon","1,511"
Iron,Mid,Vladimir,B,48.24%,1.7%,0.0%,"Swain,Mordekaiser,Galio,Akali,Yone,Ekko,Sylas",908
Iron,Mid,Zed,D,48.18%,11.6%,0.0%,"Morgana,Annie,Xerath,Orianna,Cassiopeia,Irelia,Heimerdinger","6,113"
Iron,Mid,Ziggs,C,48.15%,2.4%,0.0%,"Kassadin,Katarina,Morgana,Anivia,Galio,Tristana,Sylas","1,246"
Iron,Top,Darius,D,48.10%,9.5%,0.0%,"Yorick,Illaoi,Volibear,Sett,Warwick,Vayne,Sion","5,002"
Iron,Adc,Lucian,D,48.09%,8.2%,0.0%,"Kog'Maw,Samira,Twitch,Vayne,Senna,Aphelios,Miss Fortune","4,336"
Iron,Top,Renekton,D,48.03%,7.1%,0.0%,"Dr. Mundo,Wukong,Malphite,Tahm Kench,Camille,Nasus,Cho'Gath","3,712"
Iron,Top,Aatrox,D,48.03%,4.0%,0.0%,"Yone,Quinn,Wukong,Kled,Vayne,Heimerdinger,Yasuo","2,103"
Iron,Jungle,Garen,B,48.03%,0.6%,0.0%,"Taliyah,Sett,Lillia,Amumu,Sejuani,Karthus,Kindred",304
Iron,Supp,Janna,B,47.80%,1.6%,0.0%,"Vel'Koz,Rell,Neeko,Morgana,Yuumi,Shaco,Bard",864
Iron,Adc,Caitlyn,D,47.79%,13.0%,0.0%,"Sivir,Yasuo,Varus,Jhin,Miss Fortune,Vayne,Kalista","6,846"
Iron,Adc,Xayah,D,47.76%,4.3%,0.0%,"Aphelios,Kalista,Yasuo,Draven,Kai'Sa,Twitch,Miss Fortune","2,272"
Iron,Supp,Senna,D,47.74%,9.4%,0.0%,"Malphite,Swain,Shaco,Vel'Koz,Seraphine,Nami,Veigar","4,939"
Iron,Top,Gnar,D,47.67%,3.4%,0.0%,"Kennen,Fiora,Yone,Wukong,Volibear,Yorick,Akali","1,804"
Iron,Jungle,Evelynn,D,47.55%,4.8%,0.0%,"Trundle,Rammus,Sejuani,Udyr,Nocturne,Kha'Zix,Jax","2,547"
Iron,Mid,Azir,B,47.55%,1.2%,0.0%,"Cassiopeia,Vel'Koz,Malzahar,Teemo,Swain,Galio,Fizz",652
Iron,Adc,Kalista,C,47.45%,1.8%,0.0%,"Senna,Yasuo,Draven,Lucian,Kog'Maw,Jinx,Ashe",923
Iron,Jungle,Poppy,B,47.45%,0.6%,0.0%,"Skarner,Rek'Sai,Rammus,Shyvana,Trundle,Karthus,Cho'Gath",333
Iron,Mid,Aurelion Sol,B,47.43%,0.6%,0.0%,"Heimerdinger,Veigar,Malzahar,Katarina,Anivia,Talon,Ahri",331
Iron,Jungle,Graves,D,47.42%,3.3%,0.0%,"Karthus,Zac,Shyvana,Garen,Rammus,Volibear,Lillia","1,761"
Iron,Adc,Varus,D,47.41%,3.9%,0.0%,"Aphelios,Sivir,Tristana,Senna,Miss Fortune,Ezreal,Jhin","2,029"
Iron,Jungle,Jarvan IV,B,47.40%,1.1%,0.0%,"Nidalee,Shyvana,Lillia,Ekko,Kha'Zix,Fiddlesticks,Ivern",597
Iron,Mid,Malphite,B,47.40%,0.9%,0.0%,"Vladimir,Katarina,Ziggs,Heimerdinger,Fizz,Diana,Tryndamere",481
Iron,Adc,Draven,D,47.26%,3.3%,0.0%,"Yasuo,Sivir,Senna,Kai'Sa,Vayne,Varus,Jinx","1,750"
Iron,Mid,Talon,D,47.25%,5.3%,0.0%,"Pyke,Viktor,Xerath,Viego,Orianna,Pantheon,Lux","2,781"
Iron,Supp,Pantheon,D,47.23%,4.8%,0.0%,"Nami,Shaco,Swain,Rell,Alistar,Malphite,Nautilus","2,511"
Iron,Mid,Irelia,D,46.95%,4.6%,0.0%,"Swain,Galio,Viktor,Anivia,Pyke,Annie,Neeko","2,426"
Iron,Top,Riven,D,46.91%,3.0%,0.0%,"Gragas,Poppy,Sion,Kled,Vayne,Dr. Mundo,Ornn","1,554"
Iron,Top,Fiora,D,46.78%,3.5%,0.0%,"Sion,Akali,Kayle,Tryndamere,Malphite,Heimerdinger,Kennen","1,849"
Iron,Top,Poppy,C,46.64%,1.2%,0.0%,"Warwick,Trundle,Singed,Garen,Heimerdinger,Kennen,Rumble",639
Iron,Top,Vayne,D,46.57%,2.9%,0.0%,"Sion,Singed,Xin Zhao,Heimerdinger,Yasuo,Wukong,Tryndamere","1,503"
Iron,Jungle,Kindred,D,46.54%,2.7%,0.0%,"Tryndamere,Skarner,Vi,Lee Sin,Sett,Evelynn,Jax","1,403"
Iron,Top,Kalista,B,46.53%,0.5%,0.0%,"Fiora,Mordekaiser,Gnar,Ryze,Camille,Kennen,Jax",288
Iron,Top,Olaf,B,46.47%,0.9%,0.0%,"Ornn,Wukong,Fiora,Nasus,Kayle,Pantheon,Tahm Kench",482
Iron,Supp,Rakan,D,46.47%,2.5%,0.0%,"Zilean,Veigar,Zyra,Taric,Nami,Sona,Maokai","1,332"
Iron,Supp,Bard,C,46.46%,1.4%,0.0%,"Maokai,Ahri,Veigar,Pyke,Malphite,Rell,Seraphine",721
Iron,Mid,Corki,B,46.44%,0.5%,0.0%,"Vladimir,Ahri,Akali,Kassadin,Yasuo,Lucian,Zed",267
Iron,Top,Camille,D,46.32%,2.8%,0.0%,"Sion,Mordekaiser,Shen,Poppy,Wukong,Teemo,Aatrox","1,468"
Iron,Top,Pantheon,D,46.27%,3.2%,0.0%,"Poppy,Yasuo,Sylas,Tahm Kench,Sion,Tryndamere,Camille","1,688"
Iron,Top,Rengar,B,46.26%,0.5%,0.0%,"Poppy,Yasuo,Malphite,Gnar,Viego,Riven,Renekton",281
Iron,Jungle,Pantheon,D,46.26%,3.0%,0.0%,"Nidalee,Xin Zhao,Rammus,Lillia,Sejuani,Vi,Udyr","1,578"
Iron,Jungle,Rengar,D,46.12%,2.6%,0.0%,"Sejuani,Karthus,Lillia,Shyvana,Wukong,Jarvan IV,Ekko","1,353"
Iron,Top,Rumble,B,46.08%,0.6%,0.0%,"Ornn,Fiora,Heimerdinger,Vayne,Yasuo,Sion,Kayle",293
