rank,lane,champion,tier,win_rate,pick_rate,ban_rate,counters,matches
Iron,Supp,Swain,0,0.554,0.046,0.071,"Taric,Brand,Vel'Koz,Sett,Zilean,Alistar,Veigar",4834
Iron,Jungle,Dr. Mundo,1,0.5497,0.05,0.043,"Shyvana,Sejuani,Nidalee,Elise,Master Yi,Udyr,Amumu",5263
Iron,Mid,Xin Zhao,2,0.5482,0.009,0.027,"Vel'Koz,Anivia,Morgana,Pantheon,Azir,Viktor,Tristana",934
Iron,Supp,Brand,0,0.5444,0.075,0.168,"Alistar,Sona,Pyke,Sett,Malphite,Blitzcrank,Galio",7928
Iron,Mid,Diana,0,0.5418,0.06,0.076,"Viego,Xin Zhao,Galio,Brand,Fizz,Pyke,Morgana",6382
Iron,Adc,Veigar,2,0.5413,0.006,0.049,"Heimerdinger,Jinx,Draven,Tristana,Twitch,Ashe,Aphelios",678
Iron,Mid,Brand,1,0.5402,0.019,0.168,"Vel'Koz,Kassadin,Twisted Fate,Neeko,Swain,Anivia,Annie",1992
Iron,Top,Urgot,0,0.5397,0.066,0.092,"Teemo,Nasus,Volibear,Shen,Sion,Mordekaiser,Gnar",6985
Iron,Jungle,Master Yi,0,0.5383,0.208,0.446,"Rammus,Sejuani,Volibear,Warwick,Ekko,Nocturne,Jax",21969
Iron,Jungle,Volibear,1,0.5382,0.053,0.038,"Sejuani,Rammus,Udyr,Shyvana,Master Yi,Karthus,Dr. Mundo",5595
Iron,Jungle,Rammus,1,0.5368,0.037,0.068,"Olaf,Trundle,Dr. Mundo,Amumu,Sejuani,Karthus,Gragas",3951
Iron,Mid,Tristana,2,0.5348,0.013,0.201,"Seraphine,Yasuo,Veigar,Viktor,Ezreal,Akali,Heimerdinger",1380
Iron,Adc,Yasuo,1,0.534,0.02,0.331,"Senna,Tristana,Draven,Vayne,Kalista,Twitch,Kai'Sa",2135
Iron,Top,Yorick,2,0.5339,0.022,0.011,"Viego,Dr. Mundo,Sion,Warwick,Poppy,Ornn,Quinn",2330
Iron,Mid,Malzahar,1,0.5333,0.026,0.033,"Brand,Vel'Koz,Tristana,Talon,Katarina,Lucian,Yone",2730
Iron,Jungle,Amumu,1,0.5333,0.041,0.019,"Cho'Gath,Tryndamere,Volibear,Master Yi,Trundle,Nidalee,Hecarim",4352
Iron,Top,Nasus,0,0.5327,0.091,0.088,"Kled,Illaoi,Aatrox,Vayne,Teemo,Wukong,Malphite",9599
Iron,Mid,Garen,2,0.5316,0.007,0.093,"Teemo,Morgana,Veigar,Lux,Ekko,Lucian,Zoe",728
Iron,Mid,Nocturne,2,0.5304,0.007,0.064,"Cho'Gath,Annie,Sett,Malphite,Diana,Zoe,Ahri",741
Iron,Supp,Taric,2,0.5301,0.01,0.001,"Brand,Rakan,Leona,Zyra,Seraphine,Senna,Lux",1062
Iron,Jungle,Warwick,0,0.5301,0.159,0.105,"Trundle,Dr. Mundo,Amumu,Rammus,Jarvan IV,Udyr,Shyvana",16779
Iron,Top,Sion,2,0.5297,0.019,0.004,"Xin Zhao,Warwick,Kalista,Jax,Nasus,Aatrox,Akali",1973
Iron,Mid,Malphite,2,0.5289,0.01,0.071,"Illaoi,Xerath,Galio,Ekko,Tristana,Xin Zhao,Seraphine",1019
Iron,Mid,Swain,2,0.5285,0.008,0.071,"Teemo,Anivia,Heimerdinger,Neeko,Viego,Ziggs,Ryze",808
Iron,Supp,Rell,2,0.5277,0.02,0.02,"Neeko,Zyra,Brand,Swain,Galio,Rakan,Veigar",2130
Iron,Mid,Viego,1,0.5275,0.022,0.127,"Tristana,Heimerdinger,Malzahar,Pyke,Malphite,Azir,Pantheon",2273
Iron,Top,Garen,0,0.5263,0.142,0.093,"Yorick,Kalista,Singed,Volibear,Kayle,Dr. Mundo,Heimerdinger",15027
Iron,Supp,Leona,0,0.5259,0.096,0.161,"Vel'Koz,Maokai,Swain,Malphite,Xerath,Alistar,Shaco",10197
Iron,Top,Teemo,0,0.5257,0.105,0.238,"Sion,Yone,Pantheon,Heimerdinger,Yasuo,Sett,Xin Zhao",11089
Iron,Mid,Veigar,1,0.5254,0.078,0.049,"Swain,Ekko,Brand,Malzahar,Xerath,Teemo,Galio",8243
Iron,Mid,Yone,0,0.5248,0.153,0.241,"Xerath,Tristana,Xin Zhao,Lux,Pyke,Sett,Viego",16220
Iron,Supp,Xerath,2,0.5242,0.028,0.034,"Brand,Swain,Maokai,Zilean,Sett,Janna,Rell",2909
Iron,Mid,Viktor,2,0.5241,0.01,0.003,"Annie,Vladimir,Brand,Viego,Diana,Pyke,Heimerdinger",1017
Iron,Mid,Neeko,1,0.5228,0.038,0.031,"Tristana,Malphite,Diana,Vel'Koz,Viktor,Veigar,Malzahar",4017
Iron,Supp,Maokai,2,0.5224,0.021,0.008,"Rell,Teemo,Zyra,Braum,Zilean,Nautilus,Swain",2205
Iron,Adc,Tristana,0,0.5221,0.192,0.201,"Aphelios,Samira,Draven,Senna,Jhin,Miss Fortune,Jinx",20250
Iron,Top,Illaoi,0,0.522,0.052,0.205,"Yasuo,Yorick,Riven,Urgot,Akali,Garen,Teemo",5535
Iron,Top,Kled,2,0.5216,0.011,0.007,"Jayce,Shen,Sion,Wukong,Yone,Cho'Gath,Xin Zhao",1133
Iron,Adc,Samira,0,0.5209,0.074,0.148,"Jinx,Yasuo,Senna,Xayah,Sivir,Ashe,Vayne",7857
Iron,Mid,Yasuo,0,0.5208,0.18,0.331,"Brand,Sett,Xin Zhao,Viego,Pantheon,Malzahar,Veigar",19075
Iron,Supp,Zyra,2,0.5197,0.039,0.018,"Malphite,Swain,Brand,Nautilus,Galio,Xerath,Nami",4152
Iron,Jungle,Skarner,2,0.5191,0.008,0.004,"Trundle,Shyvana,Dr. Mundo,Graves,Jax,Rammus,Lillia",863
Iron,Adc,Kog'Maw,2,0.5178,0.011,0.002,"Samira,Twitch,Draven,Xayah,Miss Fortune,Tristana,Jhin",1126
Iron,Jungle,Udyr,1,0.5176,0.06,0.113,"Jarvan IV,Shyvana,Zac,Trundle,Hecarim,Amumu,Kindred",6377
Iron,Mid,Xerath,2,0.5176,0.017,0.034,"Tristana,Twisted Fate,Malzahar,Viego,Diana,Neeko,Leblanc",1789
Iron,Mid,Fizz,0,0.5169,0.052,0.133,"Malzahar,Viktor,Galio,Ziggs,Vel'Koz,Katarina,Neeko",5500
Iron,Top,Dr. Mundo,2,0.5166,0.013,0.043,"Camille,Warwick,Illaoi,Shyvana,Urgot,Yasuo,Vayne",1415
Iron,Jungle,Sejuani,2,0.5165,0.012,0.002,"Poppy,Jarvan IV,Trundle,Lillia,Amumu,Shyvana,Graves",1270
Iron,Adc,Miss Fortune,0,0.5161,0.273,0.105,"Yasuo,Samira,Senna,Tristana,Kai'Sa,Jhin,Sivir",28809
Iron,Top,Cho'Gath,1,0.5159,0.049,0.038,"Singed,Akali,Yasuo,Sylas,Renekton,Urgot,Yorick",5189
Iron,Supp,Veigar,2,0.5157,0.024,0.049,"Teemo,Bard,Maokai,Alistar,Taric,Karma,Brand",2583
Iron,Supp,Morgana,0,0.5154,0.183,0.3,"Brand,Shaco,Swain,Sett,Xerath,Neeko,Galio",19366
Iron,Top,Tahm Kench,2,0.5146,0.01,0.005,"Shen,Kayle,Yone,Xin Zhao,Cho'Gath,Maokai,Sylas",1094
Iron,Supp,Nautilus,1,0.5143,0.07,0.063,"Zilean,Rell,Lulu,Sona,Brand,Alistar,Morgana",7391
Iron,Top,Jax,1,0.5142,0.058,0.085,"Dr. Mundo,Ornn,Malphite,Cho'Gath,Illaoi,Yone,Urgot",6140
Iron,Adc,Sivir,1,0.5142,0.074,0.04,"Senna,Yasuo,Tristana,Lucian,Miss Fortune,Vayne,Jhin",7842
Iron,Supp,Blitzcrank,0,0.5142,0.097,0.291,"Rell,Shaco,Swain,Neeko,Zyra,Sona,Leona",10292
Iron,Jungle,Trundle,2,0.5133,0.019,0.003,"Graves,Shyvana,Master Yi,Volibear,Jax,Vi,Viego",1960
Iron,Jungle,Ekko,2,0.5132,0.036,0.05,"Tryndamere,Trundle,Skarner,Volibear,Udyr,Gragas,Elise",3786
Iron,Supp,Lux,0,0.5121,0.25,0.218,"Swain,Maokai,Galio,Shaco,Blitzcrank,Janna,Alistar",26409
Iron,Mid,Pyke,2,0.5121,0.011,0.271,"Garen,Brand,Vladimir,Xin Zhao,Renekton,Xerath,Annie",1119
Iron,Mid,Sett,2,0.5117,0.01,0.116,"Twisted Fate,Zoe,Viego,Ekko,Vladimir,Fizz,Ryze",1108
Iron,Supp,Malphite,2,0.5116,0.036,0.071,"Veigar,Maokai,Karma,Rakan,Blitzcrank,Xerath,Galio",3821
Iron,Top,Fiora,1,0.5114,0.037,0.038,"Wukong,Heimerdinger,Tryndamere,Xin Zhao,Sion,Olaf,Volibear",3897
Iron,Adc,Senna,2,0.5113,0.034,0.087,"Twitch,Xayah,Caitlyn,Varus,Jinx,Jhin,Draven",3642
Iron,Supp,Shaco,2,0.5108,0.019,0.181,"Teemo,Xerath,Zyra,Sett,Malphite,Swain,Pyke",1995
Iron,Mid,Galio,2,0.5106,0.029,0.02,"Tristana,Brand,Malzahar,Viego,Vel'Koz,Yasuo,Pyke",3104
Iron,Top,Wukong,2,0.5106,0.028,0.013,"Warwick,Dr. Mundo,Shen,Yasuo,Poppy,Sylas,Akali",3010
Iron,Adc,Jhin,0,0.5097,0.125,0.143,"Yasuo,Samira,Vayne,Miss Fortune,Kai'Sa,Tristana,Sivir",13260
Iron,Top,Sett,0,0.5094,0.119,0.116,"Sion,Urgot,Poppy,Illaoi,Kled,Ornn,Nasus",12606
Iron,Supp,Alistar,2,0.5093,0.032,0.011,"Rakan,Xerath,Malphite,Maokai,Tahm Kench,Shaco,Neeko",3336
Iron,Mid,Corki,3,0.5087,0.006,0.004,"Xin Zhao,Vel'Koz,Anivia,Fizz,Viego,Irelia,Heimerdinger",629
Iron,Jungle,Vi,2,0.5087,0.037,0.008,"Zac,Sejuani,Dr. Mundo,Kha'Zix,Warwick,Fiddlesticks,Graves",3910
Iron,Top,Tryndamere,1,0.5086,0.066,0.071,"Tahm Kench,Yorick,Viego,Malphite,Ornn,Urgot,Quinn",7005
Iron,Mid,Heimerdinger,2,0.5086,0.023,0.059,"Ziggs,Cassiopeia,Anivia,Diana,Yasuo,Yone,Lux",2452
Iron,Top,Ornn,2,0.5083,0.031,0.012,"Yasuo,Yone,Kled,Cho'Gath,Gnar,Xin Zhao,Sion",3301
Iron,Mid,Pantheon,2,0.5081,0.044,0.074,"Pyke,Orianna,Veigar,Diana,Vladimir,Heimerdinger,Xerath",4680
Iron,Top,Warwick,2,0.5081,0.011,0.105,"Yasuo,Nocturne,Yone,Gnar,Fiora,Teemo,Vayne",1177
Iron,Supp,Neeko,2,0.5077,0.02,0.031,"Janna,Shaco,Rakan,Xerath,Bard,Galio,Veigar",2066
Iron,Mid,Mordekaiser,3,0.5077,0.006,0.107,"Brand,Fizz,Tristana,Malzahar,Lux,Vel'Koz,Malphite",587
Iron,Top,Rengar,3,0.5074,0.005,0.019,"Shen,Xin Zhao,Rumble,Warwick,Volibear,Draven,Akali",538
Iron,Adc,Jinx,1,0.5068,0.118,0.052,"Kog'Maw,Yasuo,Miss Fortune,Tristana,Kai'Sa,Caitlyn,Jhin",12448
Iron,Top,Volibear,2,0.5067,0.058,0.038,"Warwick,Shen,Tryndamere,Yasuo,Illaoi,Nasus,Renekton",6088
Iron,Top,Malphite,1,0.5066,0.065,0.071,"Kled,Sion,Yasuo,Heimerdinger,Cho'Gath,Kayle,Sylas",6862
Iron,Mid,Teemo,2,0.5061,0.009,0.238,"Tristana,Morgana,Ziggs,Annie,Pantheon,Heimerdinger,Cassiopeia",907
Iron,Jungle,Xin Zhao,2,0.5059,0.092,0.027,"Rammus,Vi,Elise,Dr. Mundo,Warwick,Jax,Volibear",9689
Iron,Mid,Seraphine,3,0.5057,0.007,0.099,"Ezreal,Brand,Ziggs,Twisted Fate,Vladimir,Morgana,Sylas",700
Iron,Jungle,Nocturne,2,0.5056,0.078,0.064,"Sejuani,Elise,Rammus,Volibear,Fiddlesticks,Karthus,Dr. Mundo",8238
Iron,Mid,Lissandra,3,0.5049,0.006,0.002,"Sett,Cassiopeia,Vladimir,Ezreal,Vel'Koz,Neeko,Diana",616
Iron,Top,Nocturne,3,0.5046,0.006,0.064,"Shen,Yone,Urgot,Quinn,Yasuo,Gnar,Dr. Mundo",650
Iron,Jungle,Hecarim,1,0.5034,0.09,0.154,"Viego,Volibear,Shyvana,Master Yi,Xin Zhao,Dr. Mundo,Rammus",9475
Iron,Jungle,Shyvana,3,0.5031,0.026,0.006,"Rengar,Vi,Nidalee,Xin Zhao,Olaf,Nunu,Elise",2701
Iron,Top,Shen,3,0.503,0.028,0.007,"Sion,Ornn,Kayle,Nasus,Mordekaiser,Cho'Gath,Aatrox",3012
Iron,Top,Mordekaiser,1,0.5023,0.095,0.107,"Gangplank,Yorick,Fiora,Tryndamere,Nasus,Yasuo,Kled",10064
Iron,Mid,Lux,2,0.5012,0.06,0.218,"Tristana,Brand,Fizz,Annie,Vel'Koz,Viktor,Zed",6389
Iron,Adc,Kai'Sa,0,0.5011,0.186,0.202,"Samira,Senna,Tristana,Sivir,Kog'Maw,Caitlyn,Miss Fortune",19628
Iron,Top,Kayle,3,0.5002,0.03,0.006,"Sion,Xin Zhao,Gnar,Viego,Nasus,Kled,Akali",3219
Iron,Jungle,Jax,2,0.4997,0.067,0.085,"Nidalee,Dr. Mundo,Shyvana,Tryndamere,Amumu,Udyr,Sejuani",7116
Iron,Adc,Vayne,2,0.4996,0.086,0.144,"Kog'Maw,Senna,Tristana,Twitch,Jinx,Miss Fortune,Aphelios",9082
Iron,Supp,Galio,3,0.4996,0.026,0.02,"Xerath,Nautilus,Pantheon,Leona,Karma,Lulu,Swain",2758
Iron,Mid,Katarina,2,0.4996,0.079,0.1,"Malphite,Brand,Neeko,Diana,Kassadin,Viego,Yone",8331
Iron,Supp,Pyke,1,0.4985,0.102,0.271,"Rell,Neeko,Veigar,Swain,Sona,Morgana,Leona",10810
Iron,Supp,Vel'Koz,3,0.4984,0.024,0.016,"Neeko,Sett,Rell,Zilean,Taric,Nautilus,Lulu",2564
Iron,Mid,Vel'Koz,3,0.4983,0.017,0.016,"Viktor,Annie,Orianna,Morgana,Xerath,Yasuo,Veigar",1790
Iron,Mid,Akali,2,0.4978,0.118,0.121,"Sett,Leblanc,Diana,Brand,Malzahar,Galio,Talon",12439
Iron,Supp,Sona,3,0.4967,0.033,0.003,"Taric,Zyra,Veigar,Shaco,Leona,Alistar,Maokai",3519
Iron,Jungle,Shaco,2,0.4967,0.078,0.181,"Trundle,Zac,Ekko,Volibear,Wukong,Dr. Mundo,Warwick",8243
Iron,Mid,Sylas,3,0.4962,0.056,0.038,"Malzahar,Orianna,Morgana,Neeko,Ziggs,Syndra,Yasuo",5899
Iron,Top,Singed,3,0.4959,0.01,0.004,"Sion,Urgot,Yorick,Xin Zhao,Heimerdinger,Vayne,Poppy",1085
Iron,Mid,Morgana,3,0.4958,0.012,0.3,"Zoe,Orianna,Leblanc,Anivia,Annie,Xerath,Katarina",1311
Iron,Adc,Draven,3,0.4957,0.028,0.041,"Samira,Aphelios,Jinx,Kai'Sa,Vayne,Miss Fortune,Jhin",2913
Iron,Jungle,Poppy,3,0.4951,0.009,0.004,"Evelynn,Volibear,Sett,Jax,Dr. Mundo,Master Yi,Wukong",917
Iron,Supp,Seraphine,3,0.4951,0.091,0.099,"Neeko,Zilean,Swain,Zyra,Morgana,Malphite,Sett",9587
Iron,Top,Yasuo,3,0.4951,0.029,0.331,"Jayce,Sylas,Yorick,Viego,Nasus,Jax,Shen",3076
Iron,Top,Heimerdinger,3,0.4944,0.02,0.059,"Jax,Shen,Volibear,Wukong,Yorick,Sion,Kayle",2067
Iron,Supp,Sett,3,0.4942,0.019,0.116,"Janna,Veigar,Nautilus,Maokai,Sona,Rakan,Leona",1991
Iron,Top,Rumble,3,0.4941,0.007,0.003,"Pantheon,Yone,Quinn,Sylas,Cho'Gath,Illaoi,Teemo",765
Iron,Adc,Caitlyn,3,0.4941,0.165,0.149,"Draven,Tristana,Yasuo,Sivir,Samira,Vayne,Kog'Maw",17397
Iron,Mid,Ekko,3,0.494,0.041,0.05,"Tristana,Malzahar,Viktor,Heimerdinger,Neeko,Sylas,Yone",4298
Iron,Supp,Shen,3,0.4937,0.006,0.007,"Braum,Zilean,Swain,Ahri,Gragas,Lulu,Pantheon",638
Iron,Top,Riven,3,0.4937,0.029,0.009,"Yorick,Vayne,Urgot,Warwick,Kayle,Sylas,Shen",3022
Iron,Jungle,Kayn,3,0.4931,0.145,0.134,"Dr. Mundo,Rammus,Master Yi,Amumu,Volibear,Hecarim,Warwick",15304
Iron,Top,Xin Zhao,3,0.4928,0.012,0.027,"Quinn,Warwick,Jax,Tryndamere,Viego,Heimerdinger,Nocturne",1256
Iron,Jungle,Zac,3,0.4924,0.011,0.003,"Trundle,Ekko,Sejuani,Shyvana,Sett,Kindred,Dr. Mundo",1115
Iron,Mid,Anivia,3,0.4922,0.021,0.023,"Cassiopeia,Pantheon,Pyke,Irelia,Malzahar,Galio,Lux",2255
Iron,Top,Yone,3,0.4911,0.033,0.241,"Sion,Dr. Mundo,Yorick,Heimerdinger,Poppy,Jayce,Sylas",3535
Iron,Supp,Ziggs,3,0.4909,0.006,0.005,"Tahm Kench,Bard,Rakan,Alistar,Sona,Swain,Seraphine",607
Iron,Mid,Ahri,3,0.4906,0.069,0.042,"Fizz,Ziggs,Orianna,Xerath,Kassadin,Brand,Yone",7311
Iron,Mid,Annie,3,0.4906,0.028,0.02,"Xerath,Diana,Neeko,Malzahar,Tristana,Azir,Yone",2972
Iron,Jungle,Elise,3,0.4898,0.014,0.021,"Sejuani,Udyr,Tryndamere,Kindred,Warwick,Graves,Wukong",1525
Iron,Mid,Kassadin,3,0.4896,0.02,0.017,"Cassiopeia,Morgana,Diana,Yone,Ziggs,Vladimir,Lucian",2110
Iron,Mid,Ziggs,3,0.4896,0.019,0.005,"Viego,Viktor,Tristana,Zoe,Anivia,Lux,Xerath",2059
Iron,Adc,Aphelios,3,0.4895,0.029,0.018,"Miss Fortune,Kai'Sa,Senna,Sivir,Lucian,Samira,Jhin",3101
Iron,Mid,Talon,4,0.4891,0.075,0.051,"Orianna,Diana,Cassiopeia,Xerath,Veigar,Garen,Sylas",7880
Iron,Adc,Ashe,5,0.4882,0.151,0.054,"Sivir,Draven,Kai'Sa,Kog'Maw,Tristana,Jhin,Yasuo",15953
Iron,Mid,LeBlanc,3,0.4876,0.024,0.033,"Xin Zhao,Ziggs,Anivia,Neeko,Cassiopeia,Nocturne,Malzahar",2500
Iron,Top,Quinn,3,0.4873,0.023,0.028,"Sion,Heimerdinger,Ornn,Kennen,Dr. Mundo,Irelia,Cho'Gath",2479
Iron,Top,Akali,3,0.4872,0.023,0.121,"Dr. Mundo,Quinn,Yasuo,Urgot,Nocturne,Kalista,Yorick",2428
Iron,Top,Gnar,3,0.4869,0.045,0.054,"Kled,Akali,Tryndamere,Shen,Yone,Jax,Garen",4718
Iron,Jungle,Cho'Gath,3,0.4853,0.005,0.038,"Lillia,Sejuani,Skarner,Volibear,Olaf,Shyvana,Jarvan IV",577
Iron,Supp,Zilean,3,0.4851,0.015,0.003,"Braum,Sona,Zyra,Ashe,Shaco,Bard,Rell",1606
Iron,Jungle,Kha'Zix,3,0.4849,0.073,0.095,"Amumu,Ekko,Garen,Rammus,Volibear,Karthus,Dr. Mundo",7664
Iron,Jungle,Viego,3,0.4848,0.067,0.127,"Wukong,Udyr,Zac,Amumu,Tryndamere,Ekko,Evelynn",7065
Iron,Mid,Zed,4,0.4847,0.114,0.375,"Malphite,Malzahar,Pyke,Viego,Pantheon,Neeko,Heimerdinger",12034
Iron,Top,Renekton,4,0.484,0.063,0.07,"Dr. Mundo,Illaoi,Urgot,Warwick,Jax,Ornn,Poppy",6673
Iron,Jungle,Fiddlesticks,3,0.4838,0.026,0.008,"Karthus,Dr. Mundo,Volibear,Skarner,Shyvana,Jarvan IV,Ekko",2743
Iron,Jungle,Jarvan IV,3,0.4833,0.011,0.003,"Elise,Trundle,Rammus,Sett,Nocturne,Dr. Mundo,Volibear",1165
Iron,Adc,Twitch,4,0.4826,0.037,0.032,"Kalista,Aphelios,Jinx,Miss Fortune,Samira,Tristana,Jhin",3906
Iron,Top,Vayne,3,0.4826,0.03,0.144,"Wukong,Kayle,Teemo,Jax,Kled,Yasuo,Pantheon",3185
Iron,Supp,Janna,3,0.4817,0.016,0.002,"Nami,Rell,Vel'Koz,Shaco,Soraka,Leona,Brand",1692
Iron,Mid,Orianna,3,0.481,0.014,0.004,"Kassadin,Xin Zhao,Azir,Zed,Diana,Galio,Leblanc",1451
Iron,Supp,Soraka,4,0.481,0.036,0.004,"Maokai,Nautilus,Morgana,Swain,Pyke,Seraphine,Lulu",3821
Iron,Supp,Senna,5,0.481,0.092,0.087,"Zilean,Swain,Brand,Pantheon,Maokai,Blitzcrank,Xerath",9684
Iron,Jungle,Twitch,3,0.4804,0.006,0.032,"Poppy,Lillia,Olaf,Kha'Zix,Vi,Lee Sin,Amumu",587
Iron,Mid,Cassiopeia,3,0.4803,0.014,0.009,"Ziggs,Brand,Viego,Xerath,Zoe,Sylas,Seraphine",1520
Iron,Supp,Rakan,3,0.48,0.025,0.004,"Janna,Veigar,Brand,Xerath,Swain,Leona,Thresh",2677
Iron,Supp,Thresh,5,0.4797,0.07,0.038,"Malphite,Brand,Zilean,Morgana,Leona,Nami,Lux",7409
Iron,Adc,Xayah,5,0.4787,0.043,0.013,"Twitch,Jhin,Varus,Tristana,Miss Fortune,Jinx,Lucian",4579
Iron,Supp,Miss Fortune,3,0.4786,0.007,0.105,"Lulu,Tahm Kench,Ziggs,Maokai,Neeko,Taric,Sona",748
Iron,Supp,Lulu,3,0.4786,0.026,0.008,"Brand,Alistar,Taric,Zilean,Blitzcrank,Rell,Xerath",2775
Iron,Supp,Nami,3,0.4783,0.024,0.002,"Sett,Alistar,Neeko,Maokai,Zilean,Swain,Brand",2511
Iron,Jungle,Nunu & Willump,4,0.4782,0.045,0.016,"Tryndamere,Poppy,Elise,Jarvan IV,Volibear,Amumu,Xin Zhao",4724
Iron,Jungle,Karthus,3,0.4773,0.013,0.006,"Trundle,Jarvan IV,Viego,Elise,Rengar,Zac,Ekko",1408
Iron,Adc,Lucian,5,0.4772,0.071,0.044,"Yasuo,Samira,Varus,Miss Fortune,Jinx,Senna,Jhin",7544
Iron,Supp,Pantheon,4,0.4769,0.046,0.074,"Rell,Shaco,Leona,Vel'Koz,Sona,Alistar,Malphite",4854
Iron,Adc,Varus,5,0.4764,0.044,0.007,"Kog'Maw,Yasuo,Sivir,Draven,Twitch,Ashe,Jhin",4612
Iron,Jungle,Nasus,3,0.4762,0.009,0.088,"Vi,Volibear,Shaco,Dr. Mundo,Karthus,Rammus,Lee Sin",947
Iron,Jungle,Graves,3,0.4762,0.029,0.022,"Udyr,Jarvan IV,Ekko,Wukong,Viego,Dr. Mundo,Master Yi",3026
Iron,Mid,Renekton,3,0.4761,0.008,0.07,"Ekko,Veigar,Garen,Pantheon,Annie,Malphite,Xerath",859
Iron,Top,Gragas,3,0.4757,0.006,0.004,"Xin Zhao,Yone,Dr. Mundo,Cho'Gath,Viego,Gangplank,Tryndamere",637
Iron,Jungle,Wukong,3,0.4745,0.012,0.013,"Fiddlesticks,Shyvana,Amumu,Volibear,Dr. Mundo,Vi,Rammus",1277
Iron,Top,Sylas,3,0.4738,0.015,0.038,"Akali,Aatrox,Poppy,Shen,Rengar,Ornn,Fiora",1583
Iron,Jungle,Ivern,3,0.4732,0.007,0.003,"Sejuani,Jarvan IV,Shyvana,Karthus,Elise,Wukong,Trundle",746
Iron,Top,Darius,5,0.4732,0.089,0.287,"Singed,Yorick,Dr. Mundo,Sett,Heimerdinger,Jax,Garen",9409
Iron,Jungle,Evelynn,4,0.473,0.043,0.036,"Rammus,Dr. Mundo,Sejuani,Ivern,Hecarim,Olaf,Shaco",4512
Iron,Jungle,Malphite,3,0.4725,0.006,0.071,"Kindred,Elise,Gragas,Lillia,Jarvan IV,Zac,Volibear",637
Iron,Jungle,Tryndamere,3,0.4724,0.013,0.071,"Zac,Skarner,Nidalee,Karthus,Volibear,Shaco,Udyr",1361
Iron,Top,Poppy,3,0.4706,0.013,0.004,"Tahm Kench,Tristana,Aatrox,Camille,Shen,Garen,Urgot",1362
Iron,Jungle,Rek'Sai,3,0.4703,0.006,0.004,"Tryndamere,Jarvan IV,Lillia,Twitch,Nocturne,Kindred,Udyr",674
Iron,Supp,Teemo,3,0.4699,0.009,0.238,"Janna,Ashe,Miss Fortune,Sett,Swain,Sona,Rakan",998
Iron,Top,Aatrox,5,0.4696,0.036,0.036,"Urgot,Tahm Kench,Fiora,Yone,Singed,Malphite,Xin Zhao",3829
Iron,Adc,Ezreal,5,0.4688,0.135,0.058,"Yasuo,Kog'Maw,Tristana,Sivir,Twitch,Miss Fortune,Samira",14269
Iron,Mid,Irelia,5,0.4686,0.052,0.087,"Brand,Viego,Morgana,Annie,Fizz,Azir,Veigar",5489
Iron,Top,Jayce,3,0.4678,0.01,0.005,"Warwick,Shen,Sion,Malphite,Shyvana,Singed,Heimerdinger",1101
Iron,Top,Tristana,3,0.4669,0.005,0.201,"Dr. Mundo,Wukong,Kled,Sion,Quinn,Tahm Kench,Tryndamere",559
Iron,Supp,Anivia,3,0.4666,0.007,0.023,"Miss Fortune,Zilean,Blitzcrank,Xerath,Seraphine,Vel'Koz,Malphite",778
Iron,Jungle,Rengar,4,0.4651,0.028,0.019,"Dr. Mundo,Zac,Fiddlesticks,Udyr,Amumu,Graves,Master Yi",3010
Iron,Supp,Bard,3,0.4651,0.015,0.006,"Xerath,Zyra,Taric,Maokai,Pantheon,Janna,Nami",1576
Iron,Top,Pantheon,4,0.4636,0.02,0.074,"Singed,Yorick,Irelia,Heimerdinger,Xin Zhao,Warwick,Sylas",2131
Iron,Jungle,Nidalee,3,0.4634,0.019,0.006,"Wukong,Rammus,Nasus,Viego,Skarner,Master Yi,Zac",2035
Iron,Adc,Kalista,4,0.4632,0.021,0.014,"Aphelios,Senna,Sivir,Jinx,Kai'Sa,Miss Fortune,Vayne",2174
Iron,Jungle,Lee Sin,5,0.4629,0.074,0.053,"Amumu,Shyvana,Ekko,Karthus,Warwick,Nocturne,Pantheon",7821
Iron,Jungle,Kindred,3,0.462,0.024,0.005,"Tryndamere,Wukong,Garen,Trundle,Graves,Viego,Skarner",2498
Iron,Jungle,Lillia,3,0.4618,0.02,0.008,"Garen,Jarvan IV,Dr. Mundo,Vi,Nocturne,Olaf,Nunu",2109
Iron,Mid,Syndra,4,0.4609,0.015,0.009,"Viktor,Seraphine,Kassadin,Viego,Malzahar,Ekko,Irelia",1571
Iron,Mid,Lucian,5,0.4605,0.029,0.044,"Brand,Yone,Annie,Veigar,Neeko,Tristana,Diana",3049
Iron,Jungle,Olaf,4,0.4604,0.031,0.033,"Sejuani,Dr. Mundo,Vi,Wukong,Jarvan IV,Graves,Warwick",3317
Iron,Top,Lucian,3,0.4601,0.007,0.044,"Yasuo,Riven,Ornn,Dr. Mundo,Darius,Nasus,Viego",689
Iron,Top,Master Yi,3,0.46,0.006,0.446,"Dr. Mundo,Rumble,Gragas,Sion,Vayne,Wukong,Nasus",687
Iron,Top,Viego,4,0.4595,0.016,0.127,"Warwick,Poppy,Akali,Wukong,Teemo,Malphite,Heimerdinger",1693
Iron,Jungle,Pantheon,3,0.4591,0.009,0.074,"Garen,Elise,Graves,Olaf,Karthus,Dr. Mundo,Amumu",978
