rank,lane,champion,tier,win_rate,pick_rate,ban_rate,counters,matches
Silver,Top,Gnar,2,0.493,0.074,0.118,"Urgot,Malphite,Wukong,Rengar,Maokai,Ornn,Garen",242327
Silver,Top,Kennen,3,0.4928,0.014,0.003,"Nasus,Cho'Gath,Ornn,Yorick,Urgot,Dr. Mundo,Vladimir",44227
Silver,Supp,Veigar,3,0.4927,0.013,0.019,"Shaco,Zyra,Maokai,Blitzcrank,Brand,Xerath,Sona",42158
Silver,Mid,Lissandra,3,0.4925,0.012,0.003,"Brand,Xerath,Vel'Koz,Anivia,Pantheon,Annie,Heimerdinger",40465
Silver,Top,Tryndamere,3,0.4924,0.043,0.038,"Kled,Malphite,Cho'Gath,Teemo,Wukong,Warwick,Jax",139771
Silver,Supp,Braum,3,0.4912,0.022,0.004,"Shaco,Brand,Vel'Koz,Zilean,Swain,Nami,Seraphine",71868
Silver,Mid,Aurelion Sol,3,0.4891,0.005,0.001,"Brand,Galio,Diana,Malzahar,Katarina,Corki,Anivia",17606
Silver,Top,Camille,3,0.4889,0.035,0.029,"Urgot,Fiora,Teemo,Warwick,Yorick,Heimerdinger,Maokai",114016
Silver,Mid,Talon,4,0.4887,0.056,0.046,"Garen,Sett,Diana,Neeko,Malphite,Lissandra,Annie",182929
Silver,Mid,Akali,5,0.4884,0.092,0.11,"Heimerdinger,Malzahar,Morgana,Galio,Diana,Veigar,Neeko",301346
Silver,Jungle,Kayn,4,0.4879,0.112,0.105,"Poppy,Master Yi,Skarner,Rammus,Dr. Mundo,Amumu,Nocturne",368058
Silver,Adc,Varus,3,0.4874,0.029,0.002,"Twitch,Tristana,Jhin,Sivir,Kog'Maw,Samira,Ashe",95782
Silver,Supp,Neeko,3,0.4871,0.011,0.01,"Xerath,Vel'Koz,Nami,Morgana,Shaco,Sona,Veigar",36742
Silver,Supp,Pyke,4,0.4868,0.08,0.118,"Shaco,Maokai,Zilean,Swain,Morgana,Sona,Soraka",260952
Silver,Mid,Cassiopeia,3,0.4865,0.018,0.012,"Malzahar,Vel'Koz,Heimerdinger,Xerath,Lux,Morgana,Ekko",58970
Silver,Jungle,Karthus,3,0.4862,0.018,0.011,"Dr. Mundo,Master Yi,Volibear,Ekko,Hecarim,Nunu,Taliyah",60266
Silver,Supp,Karma,4,0.486,0.033,0.003,"Galio,Yuumi,Janna,Nami,Blitzcrank,Seraphine,Rell",107287
Silver,Top,Vladimir,3,0.486,0.011,0.02,"Kled,Yorick,Kayle,Riven,Garen,Urgot,Cho'Gath",34747
Silver,Top,Tahm Kench,3,0.4853,0.013,0.004,"Yorick,Cho'Gath,Ornn,Teemo,Dr. Mundo,Mordekaiser,Sion",42029
Silver,Top,Vayne,4,0.4846,0.033,0.153,"Malphite,Teemo,Wukong,Kayle,Quinn,Nasus,Heimerdinger",109456
Silver,Mid,LeBlanc,4,0.4843,0.038,0.053,"Malzahar,Diana,Neeko,Ahri,Morgana,Corki,Veigar",125361
Silver,Jungle,Jax,3,0.4838,0.035,0.051,"Poppy,Rammus,Dr. Mundo,Elise,Amumu,Skarner,Volibear",114021
Silver,Supp,Rakan,4,0.4836,0.028,0.002,"Brand,Zyra,Rell,Bard,Swain,Maokai,Veigar",92996
Silver,Top,Pantheon,3,0.4832,0.013,0.097,"Poppy,Yorick,Sion,Wukong,Cho'Gath,Dr. Mundo,Urgot",41006
Silver,Adc,Xayah,5,0.4816,0.042,0.005,"Sivir,Yasuo,Jhin,Twitch,Tristana,Jinx,Caitlyn",136784
Silver,Supp,Senna,5,0.4816,0.11,0.13,"Vel'Koz,Zyra,Brand,Swain,Xerath,Maokai,Zilean",358755
Silver,Jungle,Lee Sin,5,0.4796,0.114,0.06,"Skarner,Poppy,Volibear,Dr. Mundo,Rammus,Nocturne,Sejuani",372584
Silver,Top,Aatrox,5,0.4783,0.042,0.041,"Urgot,Malphite,Fiora,Kled,Yorick,Maokai,Garen",138286
Silver,Adc,Ezreal,5,0.478,0.2,0.052,"Sivir,Kog'Maw,Tristana,Yasuo,Vayne,Samira,Jhin",653831
Silver,Supp,Malphite,4,0.4778,0.02,0.136,"Swain,Zilean,Rell,Leona,Sona,Brand,Vel'Koz",64506
Silver,Supp,Shen,3,0.4775,0.008,0.013,"Taric,Sona,Janna,Nami,Shaco,Galio,Malphite",24904
Silver,Top,Jayce,4,0.4763,0.019,0.006,"Nasus,Dr. Mundo,Maokai,Yorick,Cho'Gath,Wukong,Urgot",63732
Silver,Top,Yone,5,0.476,0.025,0.284,"Garen,Jax,Urgot,Kled,Shen,Fiora,Riven",83288
Silver,Top,Viego,4,0.4758,0.019,0.256,"Urgot,Jax,Garen,Malphite,Fiora,Volibear,Yorick",62970
Silver,Jungle,Taliyah,3,0.4757,0.008,0.001,"Hecarim,Master Yi,Sejuani,Amumu,Trundle,Udyr,Vi",27308
Silver,Jungle,Gragas,3,0.4756,0.02,0.006,"Volibear,Sejuani,Dr. Mundo,Vi,Warwick,Udyr,Shaco",64937
Silver,Supp,Ashe,3,0.4752,0.008,0.014,"Pyke,Yuumi,Nautilus,Shaco,Nami,Bard,Soraka",25358
Silver,Jungle,Graves,5,0.4752,0.057,0.035,"Skarner,Rammus,Vi,Poppy,Dr. Mundo,Amumu,Udyr",185462
Silver,Adc,Lucian,5,0.4747,0.083,0.041,"Senna,Jhin,Sivir,Draven,Jinx,Tristana,Twitch",271134
Silver,Jungle,Rek'Sai,3,0.4745,0.012,0.004,"Skarner,Trundle,Nocturne,Volibear,Amumu,Olaf,Udyr",39748
Silver,Top,Renekton,5,0.474,0.061,0.08,"Kled,Urgot,Garen,Illaoi,Ornn,Teemo,Cho'Gath",199198
Silver,Mid,Twisted Fate,5,0.4729,0.041,0.003,"Morgana,Diana,Annie,Vel'Koz,Katarina,Corki,Ziggs",133324
Silver,Jungle,Olaf,4,0.4711,0.026,0.038,"Dr. Mundo,Master Yi,Trundle,Zac,Volibear,Ekko,Shaco",84681
Silver,Top,Rumble,4,0.4711,0.013,0.003,"Dr. Mundo,Urgot,Kled,Yone,Tryndamere,Cho'Gath,Mordekaiser",41185
Silver,Supp,Sett,4,0.4699,0.019,0.058,"Nami,Brand,Soraka,Janna,Swain,Shaco,Maokai",61965
Silver,Supp,Pantheon,5,0.4697,0.033,0.097,"Maokai,Rell,Nami,Taric,Alistar,Shaco,Rakan",109233
Silver,Supp,Gragas,3,0.4691,0.005,0.006,"Vel'Koz,Maokai,Rell,Shaco,Xerath,Lulu,Soraka",16972
Silver,Mid,Orianna,5,0.4689,0.029,0.004,"Morgana,Vel'Koz,Diana,Xerath,Corki,Galio,Tristana",96599
Silver,Top,Yasuo,5,0.4685,0.025,0.295,"Garen,Nasus,Kled,Cho'Gath,Urgot,Wukong,Volibear",80554
Silver,Mid,Syndra,5,0.4666,0.023,0.009,"Fizz,Corki,Morgana,Diana,Xerath,Vel'Koz,Katarina",76940
Silver,Top,Lucian,3,0.4665,0.009,0.041,"Maokai,Pantheon,Malphite,Wukong,Ornn,Sion,Rengar",27928
Silver,Jungle,Kindred,4,0.4652,0.025,0.004,"Rammus,Skarner,Shaco,Elise,Master Yi,Nocturne,Xin Zhao",80460
Silver,Top,Gragas,4,0.4646,0.013,0.006,"Garen,Urgot,Singed,Cho'Gath,Maokai,Darius,Nasus",43416
Silver,Adc,Kalista,4,0.4645,0.017,0.009,"Kog'Maw,Draven,Tristana,Ashe,Senna,Twitch,Sivir",55719
Silver,Jungle,Nasus,3,0.4631,0.005,0.078,"Sejuani,Elise,Trundle,Evelynn,Rammus,Nunu,Karthus",17041
Silver,Mid,Lucian,5,0.4628,0.035,0.041,"Vel'Koz,Corki,Brand,Malzahar,Diana,Malphite,Annie",114889
Silver,Mid,Irelia,5,0.4626,0.048,0.125,"Garen,Malphite,Malzahar,Corki,Veigar,Annie,Nocturne",158285
Silver,Adc,Aphelios,5,0.4612,0.025,0.012,"Twitch,Tristana,Kog'Maw,Sivir,Miss Fortune,Jhin,Ashe",80521
Silver,Top,Ryze,4,0.461,0.012,0.004,"Cho'Gath,Wukong,Ornn,Kayle,Urgot,Kled,Heimerdinger",38596
Silver,Jungle,Rengar,5,0.4604,0.025,0.013,"Rammus,Dr. Mundo,Udyr,Sejuani,Skarner,Vi,Master Yi",83352
Silver,Jungle,Tryndamere,3,0.4597,0.005,0.038,"Poppy,Udyr,Nocturne,Dr. Mundo,Nunu,Hecarim,Shaco",16557
Silver,Top,Xin Zhao,4,0.4596,0.009,0.027,"Urgot,Garen,Wukong,Sion,Malphite,Shen,Cho'Gath",29197
Silver,Mid,Zoe,5,0.4577,0.023,0.012,"Annie,Tristana,Malzahar,Viego,Morgana,Galio,Veigar",76584
Silver,Top,Irelia,5,0.4576,0.062,0.125,"Garen,Tryndamere,Warwick,Volibear,Jax,Urgot,Nasus",202533
Silver,Top,Gangplank,5,0.4575,0.026,0.008,"Ornn,Sion,Urgot,Cho'Gath,Yorick,Garen,Wukong",83818
Silver,Mid,Qiyana,5,0.4568,0.024,0.005,"Heimerdinger,Malzahar,Diana,Malphite,Veigar,Fizz,Tristana",78203
Silver,Supp,Miss Fortune,3,0.4537,0.006,0.021,"Leona,Vel'Koz,Lulu,Zilean,Soraka,Xerath,Nami",21249
Silver,Jungle,Nidalee,5,0.4535,0.036,0.007,"Warwick,Dr. Mundo,Nocturne,Vi,Xin Zhao,Rammus,Master Yi",117290
Silver,Jungle,Lillia,5,0.4528,0.036,0.016,"Xin Zhao,Dr. Mundo,Master Yi,Skarner,Shyvana,Sejuani,Nocturne",117366
Silver,Top,Kalista,4,0.4499,0.01,0.009,"Jax,Malphite,Nocturne,Sion,Kled,Ornn,Maokai",31708
Silver,Jungle,Malphite,3,0.449,0.005,0.136,"Sejuani,Zac,Wukong,Shyvana,Hecarim,Master Yi,Udyr",17448
Silver,Mid,Ryze,5,0.4482,0.026,0.004,"Corki,Vel'Koz,Malzahar,Annie,Veigar,Ziggs,Neeko",84139
Silver,Jungle,Pantheon,3,0.4472,0.007,0.097,"Dr. Mundo,Sejuani,Volibear,Rammus,Zac,Poppy,Vi",23343
Silver,Jungle,Twitch,3,0.4396,0.007,0.02,"Trundle,Wukong,Xin Zhao,Skarner,Zac,Kha'Zix,Master Yi",22878
Silver,Mid,Ezreal,5,0.4319,0.008,0.052,"Brand,Corki,Diana,Morgana,Fizz,Malzahar,Annie",27347
Silver,Mid,Azir,5,0.4264,0.011,0.002,"Ziggs,Xerath,Annie,Morgana,Vel'Koz,Veigar,Viktor",36699
Gold,Adc,Swain,2,0.5574,0.009,0.048,"Kog'Maw,Miss Fortune,Draven,Vayne,Sivir,Tristana,Varus",21151
Gold,Mid,Garen,2,0.5399,0.008,0.081,"Veigar,Ahri,Neeko,Annie,Orianna,Anivia,Vayne",18827
Gold,Mid,Zilean,2,0.5396,0.006,0.006,"Brand,Ziggs,Katarina,Tristana,Corki,Ekko,Leblanc",14247
Gold,Mid,Swain,2,0.538,0.008,0.048,"Seraphine,Anivia,Cassiopeia,Annie,Katarina,Veigar,Tristana",18507
Gold,Mid,Annie,1,0.5355,0.031,0.013,"Corki,Fizz,Kassadin,Neeko,Xerath,Malzahar,Lux",76311
Gold,Top,Urgot,0,0.5342,0.063,0.053,"Wukong,Mordekaiser,Ornn,Maokai,Sion,Garen,Malphite",153532
Gold,Adc,Veigar,2,0.5341,0.007,0.011,"Swain,Jhin,Twitch,Sivir,Kog'Maw,Tristana,Jinx",16874
Gold,Mid,Heimerdinger,2,0.5335,0.007,0.007,"Seraphine,Corki,Ziggs,Yasuo,Fizz,Ekko,Galio",17369
